"%s file does not exists or is not readable","%s arquivo não existe ou não é legível"
"-- Please Select --","- Por Favor Selecione -"
"Adapter must be an instance of Mage_ImportExport_Model_Import_Adapter_Abstract","Adaptador deve ser uma instância de Mage_ImportExport_Model_Import_Adapter_Abstract"
"Adapter object must be an instance of %s","Objeto adaptador deve ser uma instância de %s"
"Adapter type must be a non empty string","Tipo de adaptador deve ser uma sequência não vazia"
"Append Complex Data","Acrescentar dados complexos"
"Attribute Code","Código do Atributo"
"Attribute Label","Etiqueta do Atributo"
"Attribute does not has options, so filtering is impossible","Atributo não tem opções, filtragem é impossível"
"Begin data validation","Começar a validação de dados"
"Begin export of %s","Começar a exportação de %s"
"Begin import of ""%s"" with ""%s"" behavior","Começar a importação do ""%s"" com ""%s"" comportamento"
CSV,CSV
"Can not determine attribute filter type","Não pode determinar o tipo de atributo de filtro"
"Can not find required columns: %s","Não consigo encontrar colunas necessárias: %s"
"Cannot get autoincrement value","Não pode obter o valor de incremento automático"
"Check Data","Verificar Dados"
"Checked rows: %d, checked entities: %d, invalid rows: %d, total errors: %d","Verificado linhas: %d, verifiquei as entidades: %d, linhas inválidas: %d, total de erros: %d"
"Column names have duplicates","Nomes de coluna têm duplicados"
"Column names is empty or is not an array","Nomes de coluna estão vazios ou não em série"
"Column names: ""%s"" are invalid","Nomes de colunas: ""%s"" são inválidos"
Customers,Clientes
"Data is invalid or file is not uploaded","Dados são inválidos ou arquivo não está carregado"
"Delete Entities","Excluir entidades"
"Destination directory is not writable","Diretório de destino não é gravável"
"Destination file is not writable","Arquivo de destino não é gravável"
"Destination file path must be a string","Caminho do arquivo de destino deve ser uma sequência"
"Done import data validation","Validação de dados de importação feito"
"Duplicate Unique Attribute for '%s'","Duplicar o atributo exclusivo para ' %s'"
"Entity Type","Tipo de entidade"
"Entity adapter obejct must be an instance of Mage_ImportExport_Model_Export_Entity_Abstract","Entidade objeto de adaptador deve ser uma instância de Mage_ImportExport_Model_Export_Entity_Abstract"
"Entity adapter object must be an instance of Mage_ImportExport_Model_Import_Entity_Abstract","Objeto adaptador da entidade deve ser uma instância de Mage_ImportExport_Model_Import_Entity_Abstract"
"Entity is unknown","Entidade desconhecida"
"Entity type model must be an instance of Mage_ImportExport_Model_Export_Entity_Product_Type_Abstract","Modelo de tipo de entidade deve ser uma instância de Mage_ImportExport_Model_Export_Entity_Product_Type_Abstract"
"Entity type model must be an instance of Mage_ImportExport_Model_Import_Entity_Product_Type_Abstract","Modelo de tipo de entidade deve ser uma instância de Mage_ImportExport_Model_Import_Entity_Product_Type_Abstract"
"Error in data structure: behaviors are mixed","Erro na estrutura de dados: os comportamentos estão misturados"
"Error in data structure: entity codes are mixed","Erro na estrutura de dados: os códigos de entidade estão misturados"
"Errors limit (%d) reached. Please fix errors and re-upload file","Atingido o limite de erros (%d). Por favor, corrigir erros e re-upload de arquivo"
Export,Exportar
"Export File Format","Formato de arquivo de exportação"
"Export Settings","Configurações de exportação"
"Export has been done.","Exportação tem sido feita."
"Exported %s rows.","Exportados %s linhas."
"File does not contain data.","Arquivo não contém dados."
"File does not contain data. Please upload another one","Arquivo não contém dados. Por favor envie outro"
"File format is unknown","Formato de arquivo é desconhecido"
"File is partially valid, but import is not possible","Arquivo é parcialmente válido, mas a importação não é possível"
"File is totally invalid. Please fix errors and re-upload file","Arquivo é totalmente inválido. Por favor corrija os erros e recarregue arquivos"
"File is valid! To start import process press ""Import"" button","Arquivo é válido! Para iniciar o processo de importação carregue no botão ""Importar"""
"File is valid, but import is not possible","Arquivo é válido, mas a importação não é possível"
"File was not uploaded","Arquivo não foi carregada."
Filter,Filtro
From,De
"Header column names already set","Nomes das colunas de cabeçalho já estão definidos"
Import,Importar
"Import Behavior","Comportamento de importação"
"Import Settings","Configurações de importação"
"Import has been done successfuly.","Importação tem sido feita com sucesso."
"Import successfully done.","Importação feita com sucesso."
Import/Export,Importação/Exportação
"Input entity code is not equal to entity adapter code","Código de entrada da entidade não é igual ao código de adaptador da entidade"
"Invalid entity","Entidade inválida"
"Invalid entity model","Modelo de entidade inválido"
"Invalid file format","Formato de arquivo inválido"
"Invalid parameters","Parâmetros inválidos"
"Invalid seek position","Posição inválida de busca"
"Invalid value for '%s'","Valor inválido para ""%s"""
"Invalid value for '%s' column","Valor inválido para ' %s' coluna"
"No filter data provided","Dados fornecidos não filtrados"
"No source specified","Nenhuma fonte especificada"
"No valid data sent","Não há dados válidos de envio"
"No writer specified","Nenhum escritor especificado"
"Node does not has model token tag","Nó não tem modelo de marca simbólico"
"Not implemented yet","Ainda não implementado"
"Please fix errors and re-upload file","Corrija os erros e carregue novamente o arquivo"
"Please fix errors and re-upload file or simply press ""Import"" button to skip rows with errors","Corrija os erros e carregue novamente o arquivo, ou simplesmente pressione o botão ""Importar"" para pular as linhas com erros"
Products,Produtos
"Replace Existing Complex Data","Substituir dados complexos existentes"
"Select File to Import","Selecione o arquivo de importação"
Skip,Skip
"Source file moving failed","Falha na movimentação do arquivo fonte"
"Source file path must be a string","O caminho do arquivo fonte deve ser uma sequência de caracteres"
"Source is not set","A fonte não está definida"
Status,Status
"There are no product types available for export","Não há tipos de produto disponíveis para exportação"
"There is no data for export","Não há dados para exportação"
To,Para
"Total size of uploadable files must not exceed %s","O tamanho total dos arquivos a serem carregados não deve exceder %s"
"Unknown attribute filter type","Tipo de filtro de atributo desconhecido"
"Uploaded file has no extension","O arquivo carregado não possui extensão"
"Validation finished successfully","Validação foi concluída com êxito"
"in rows","em linhas"
"in rows:","nas linhas:"
